,intent_name,input,result
0,배송비 이중청구 관련,배송비 두번 청구되는건 아닌거 같은데 확인해주세요,배송비 이중청구 관련
1,배송비 이중청구 관련,배송비 두번 나갔어요,배송비 이중청구 관련
2,배송비 이중청구 관련,배송비 두번 나갔는데 이거 환불해주시나요,배송비 이중청구 관련
3,배송비 이중청구 관련,배송비 두번 나간 이유가 뭐에요,배송비 이중청구 관련
4,배송비 이중청구 관련,배송비 두번 가져간 거 같은데 확인해주세요,배송비 이중청구 관련
5,배송비 이중청구 관련,배송비 동봉했는데 또 배송비가 나갔어요,배송비 이중청구 관련
6,배송비 이중청구 관련,반품한 상품에 대한 배송비가 중복으로 청구된 것 같아서 문의드립니다,배송비 이중청구 관련
7,배송비 이중청구 관련,"반품한 상품에 대한 배송비가 두 번 청구된 것 같은데, 확인 부탁드립니다",배송비 이중청구 관련
8,배송비 이중청구 관련,반품하면 제가 배송비를 두번 내야 되나요,배송비 이중청구 관련
9,배송비 이중청구 관련,반품하려는데 배송비가 이중 청구되네요,배송비 이중청구 관련
10,배송비 이중청구 관련,반품하는데 배송비를 제가 두번 부담해야되나요,배송비 이중청구 관련
11,배송비 이중청구 관련,반품하는데 배송비가 두번 나갔어요 환불가능한가요,배송비 이중청구 관련
12,배송비 이중청구 관련,반품하는데 배송비 왜 두번 내요,배송비 이중청구 관련
13,배송비 이중청구 관련,반품신청했더니 배송비가 중복청구된 것 같아요,배송비 이중청구 관련
14,배송비 이중청구 관련,반품신청했더니 배송비가 중복으로 청구된 것 같아요,배송비 이중청구 관련
15,배송비 이중청구 관련,반품신청했더니 배송비 두번 청구된거같아요,배송비 이중청구 관련
16,배송비 이중청구 관련,반품비가 이중 청구 됐어요 어떻게 된거죠,배송비 이중청구 관련
17,배송비 이중청구 관련,반품비가 두번 청구된거 같아요,배송비 이중청구 관련
18,배송비 이중청구 관련,반품비가 두번 나갔어요 어찌된 일이죠,배송비 이중청구 관련
19,배송비 이중청구 관련,반품비 이중 청구된거 환불받을 수 있나요,배송비 이중청구 관련
20,배송비 이중청구 관련,반품비 이중 청구된거 맞는지 확인 좀 해주세요 환불 받을 수 있는지도요,배송비 이중청구 관련
21,배송비 이중청구 관련,반품비 이중 청구된거 같으니 확인 좀 부탁드려요,배송비 이중청구 관련
22,배송비 이중청구 관련,반품비 이중 청구되었는데 어디에 말씀드려야 되나요,배송비 이중청구 관련
23,배송비 이중청구 관련,반품비 이중 청구됐는데 환불해주세요,배송비 이중청구 관련
24,배송비 이중청구 관련,반품비 이중 청구,배송비 이중청구 관련
25,배송비 이중청구 관련,반품비 따로 보냈어요 근데 이중으로 낸거 같아요,배송비 이중청구 관련
26,배송비 이중청구 관련,반품비 따로 보냈는데 이중 청구 된거 같아요,배송비 이중청구 관련
27,배송비 이중청구 관련,반품비 두번 청구된거 환불 부탁드립니다,배송비 이중청구 관련
28,배송비 이중청구 관련,반품비 두번 나간거 환불받으려면 어떻게 해요,배송비 이중청구 관련
29,배송비 이중청구 관련,반품비 동봉했는데 또 낸거 같아요,배송비 이중청구 관련
30,배송비 이중청구 관련,반품 신청하면 배송비를 중복으로 청구하나요,배송비 이중청구 관련
31,배송비 이중청구 관련,반품 신청하면 무조건 배송비 이중 청구되나요,배송비 이중청구 관련
32,배송비 이중청구 관련,반품 신청하니까 배송비를 두번 빼가네요,배송비 이중청구 관련
33,배송비 이중청구 관련,"반품 시 배송비가 중복으로 청구된 거 같은데, 확인 좀 부탁드립니다",배송비 이중청구 관련
34,배송비 이중청구 관련,반품 시 배송비가 두 번 청구된 것 같아서 문의드립니다,배송비 이중청구 관련
35,배송비 이중청구 관련,반품 배송비가 중복으로 청구된 것 같아서 확인 좀 부탁드립니다,배송비 이중청구 관련
36,배송비 이중청구 관련,"반품 배송비가 중복으로 청구된 거 같은데, 확인 가능할까요",배송비 이중청구 관련
37,배송비 이중청구 관련,반품 배송비가 중복으로 나간거 같아요,배송비 이중청구 관련
38,배송비 이중청구 관련,"반품 배송비가 두 번 청구된 것 같은데요, 확인 부탁드려요",배송비 이중청구 관련
39,배송비 이중청구 관련,"반품 배송비가 두 번 청구된 것 같은데, 원인을 알 수 있을까요",배송비 이중청구 관련
40,배송비 이중청구 관련,반품 배송비 확인해주세요 두번 냈어요,배송비 이중청구 관련
41,배송비 이중청구 관련,반품 배송비 중복,배송비 이중청구 관련
42,배송비 이중청구 관련,반품 배송비 이중 청구됐어요 확인 부탁드려요,배송비 이중청구 관련
43,배송비 이중청구 관련,반품 배송비 동봉했는데 차감이 또 됐네요,배송비 이중청구 관련
44,배송비 이중청구 관련,반품 배송비 동봉한거 다시 돌려주던지 환불을 해주세요,배송비 이중청구 관련
45,배송비 이중청구 관련,물품 반품 시 배송비가 두 번 청구된 것 같아 문의드립니다,배송비 이중청구 관련
46,배송비 이중청구 관련,물건을 반품했는데 배송비가 두 번 청구된 것 같아요. 확인 부탁드립니다,배송비 이중청구 관련
47,배송비 이중청구 관련,물건을 반품했는데 배송비가 두 번 청구된 것 같습니다. 확인 좀 부탁드려요,배송비 이중청구 관련
48,배송비 이중청구 관련,물건을 반품했는데 반품 배송비가 두 번 청구된 것 같아 문의드립니다,배송비 이중청구 관련
49,배송비 이중청구 관련,두 번의 배송비가 청구되어 당황스럽습니다,배송비 이중청구 관련
50,배송비 이중청구 관련,그럼 배송비를 또 제가 내는 건가요,배송비 이중청구 관련
51,주문취소 후 재결제 관련,재결제가 무슨 뜻이야,주문취소 후 재결제 관련
52,주문취소 후 재결제 관련,재결제 후에 카드 취소내역이 안뜹니다,주문/결제 취소 확인
53,주문취소 후 재결제 관련,재결제 했는데 취소 언제돼요,주문취소 후 재결제 관련
54,주문취소 후 재결제 관련,재결제 했는데 취소 문자가 안왔어요,주문/결제 취소 확인
55,주문취소 후 재결제 관련,재결제 해줘,미인도/재배송 관련
56,주문취소 후 재결제 관련,재결제 할 수 있나요,주문취소 후 재결제 관련
57,주문취소 후 재결제 관련,재결제 하면 취소시간이 다른가요,주문취소 후 재결제 관련
58,주문취소 후 재결제 관련,재결제 하려고 합니다,주문취소 후 재결제 관련
59,주문취소 후 재결제 관련,재결제 하려고 하는데요,주문취소 후 재결제 관련
60,주문취소 후 재결제 관련,재결제 하려고,주문취소 후 재결제 관련
61,주문취소 후 재결제 관련,재결제 하는 방법,주문취소 후 재결제 관련
62,주문취소 후 재결제 관련,재결제 하기,주문취소 후 재결제 관련
63,주문취소 후 재결제 관련,재결제 취소는 언제쯤 되나요,주문/결제 취소 확인
64,주문취소 후 재결제 관련,재결제 취소 얼마나 걸려,주문/결제 취소 확인
65,주문취소 후 재결제 관련,재결제 진행하는 거 알려줄래,주문취소 후 재결제 관련
66,주문취소 후 재결제 관련,재결제 진행하고싶습니다,주문취소 후 재결제 관련
67,주문취소 후 재결제 관련,재결제 진행을 하려고 합니다,주문취소 후 재결제 관련
68,주문취소 후 재결제 관련,재결제 진행은 어떻게 해,주문취소 후 재결제 관련
69,주문취소 후 재결제 관련,재결제 진행은 어떻게 하나요,주문취소 후 재결제 관련
70,주문취소 후 재결제 관련,재결제 진행 좀 도와줘,주문취소 후 재결제 관련
71,주문취소 후 재결제 관련,재결제 의미,주문취소 후 재결제 관련
72,주문취소 후 재결제 관련,재결제 요청합니다,주문취소 후 재결제 관련
73,주문취소 후 재결제 관련,재결제 요청드려요,주문취소 후 재결제 관련
74,주문취소 후 재결제 관련,재결제 어려운데,주문취소 후 재결제 관련
75,주문취소 후 재결제 관련,재결제 어떻게 해,주문취소 후 재결제 관련
76,주문취소 후 재결제 관련,재결제 알려줘,주문취소 후 재결제 관련
77,주문취소 후 재결제 관련,재결제 도와주세요,주문취소 후 재결제 관련
78,주문취소 후 재결제 관련,재결제,주문취소 후 재결제 관련
79,주문취소 후 재결제 관련,왜 환불 처리가 재결제를 해야하나요,환불/취소 문의
80,주문취소 후 재결제 관련,왜 환불 처리가 재결제를 해야 하나요,환불/취소 문의
81,주문취소 후 재결제 관련,왜 중복으로 결제하라고해,환불/취소 문의
82,주문취소 후 재결제 관련,왜 돈만 두번 받으려고해,환불/취소 문의
83,주문취소 후 재결제 관련,왜 다시 결제해야하나요,주문취소 후 재결제 관련
84,주문취소 후 재결제 관련,왜 내 돈 두번 가져가,배송비 이중청구 관련
85,주문취소 후 재결제 관련,왜 결제 두번이나해,배송비 이중청구 관련
86,주문취소 후 재결제 관련,부분취소환불이요,주문취소 후 재결제 관련
87,주문취소 후 재결제 관련,부분취소처리 알고싶어요,주문취소 후 재결제 관련
88,주문취소 후 재결제 관련,다시 결제하라는데요,주문취소 후 재결제 관련
89,주문취소 후 재결제 관련,다시 결제하라고 합니다 어떻게 해야하나요,주문취소 후 재결제 관련
90,주문취소 후 재결제 관련,다시 결제하라고 나옵니다,주문취소 후 재결제 관련
91,주문취소 후 재결제 관련,다시 결제 할래,주문취소 후 재결제 관련
92,주문취소 후 재결제 관련,다시 결제 하라는데 뭐죠,주문취소 후 재결제 관련
93,주문취소 후 재결제 관련,다시 결제 하라고 하는데 뭔가요,주문취소 후 재결제 관련
94,주문취소 후 재결제 관련,다시 결제 왜 해야하는거죠,주문취소 후 재결제 관련
95,주문취소 후 재결제 관련,결제만 두번됐어요,주문취소 후 재결제 관련
96,주문취소 후 재결제 관련,결제 왜 두번이나 해,배송비 이중청구 관련
97,상품 교환/반품 관련,모바일 교환권 교환,상품 교환/반품 관련
98,상품 교환/반품 관련,맞교환은 안되는가요 언제쯤 받을수있는지 알고싶습니다.,배송 가능 시간 문의
99,상품 교환/반품 관련,맞교환 가능한지요,배송지 변경 문의
100,상품 교환/반품 관련,다른 주문건 반품,배송 가능 시간 문의
101,상품 교환/반품 관련,구매확정을 했는데 반품 되나요,구매확정/배송완료 관련
102,상품 교환/반품 관련,구매확정 한거 교환되는지 확인 좀 해주세요,배송지연/조회 관련
103,상품 교환/반품 관련,구매확정 한거 교환되나요,구매확정/배송완료 관련
104,상품 교환/반품 관련,교환할때는 배송비 무료인거죠,배송비 이중청구 관련
105,상품 교환/반품 관련,교환하고 싶은데요,상품 교환/반품 관련
106,상품 교환/반품 관련,교환하고 싶어,상품 교환/반품 관련
107,상품 교환/반품 관련,교환지연이 오래 걸리나 봅니다,회수/수거 지연 문의
108,상품 교환/반품 관련,교환상품 배송조회 할래,상품 교환/반품 관련
109,상품 교환/반품 관련,교환상품 배송조회 할게요,상품 교환/반품 관련
110,상품 교환/반품 관련,교환비용 얼마인지 알려줘,배송지연/조회 관련
111,상품 교환/반품 관련,교환비 카드 결제 되나요,주문/결제 취소 확인
112,상품 교환/반품 관련,교환문의드려요,미수령/미배송 문의
113,상품 교환/반품 관련,교환될까요,배송지연/조회 관련
114,상품 교환/반품 관련,교환/반품비 얼마인가요,상품 교환/반품 관련
115,상품 교환/반품 관련,교환 접수해줄래,상품 교환/반품 관련
116,상품 교환/반품 관련,교환 접수해주세요,상품 교환/반품 관련
117,상품 교환/반품 관련,교환 요청건 처리가 어떻게 되고 있는지 알려주세요,상품 교환/반품 관련
118,상품 교환/반품 관련,교환 요청건 처리 어떻게 되고 있나요,상품 교환/반품 관련
119,상품 교환/반품 관련,교환 신청했는데 무료인가요,주문/반품/교환 취소 철회
120,상품 교환/반품 관련,교환 신청하는 방법,상품 교환/반품 관련
121,상품 교환/반품 관련,교환 신청 후 과정 알려주세요,상품 교환/반품 관련
122,상품 교환/반품 관련,교환 신청 시 배송비 추가로 내야하나요,배송 문제 및 오배송 문의
123,상품 교환/반품 관련,가까운 매장에서 교환할 수 있을까요,상품 교환/반품 관련
124,상품 교환/반품 관련,교환 신청한 거 따로 택배 부쳐야 하나요,상품 교환/반품 관련
125,상품 교환/반품 관련,제가 알고 있는 반품비랑 달라요,배송비 이중청구 관련
126,상품 교환/반품 관련,반품접수했더니 택배비가 부과되는데 입금을 따로해야하나요,배송비 이중청구 관련
127,상품 교환/반품 관련,반품접수했는데 반품배송비는 따로 결제하나요,배송비 이중청구 관련
128,상품 교환/반품 관련,반품비 결제 카드로만 해야하나요,배송비 이중청구 관련
129,상품 교환/반품 관련,"반품배송비는 따로 결제해야하나요, 아님 환불금액에서 빼고 주시나요",배송비 이중청구 관련
130,상품 교환/반품 관련,반품 신청했는데 택배비 문의,배송비 이중청구 관련
131,상품 교환/반품 관련,반품 신청했는데 무료인가요,주문/반품/교환 취소 철회
132,상품 교환/반품 관련,반품 결제비가 뭐에요,배송비 이중청구 관련
133,상품 교환/반품 관련,반품 결제비가 나왔어요,배송비 이중청구 관련
134,상품 교환/반품 관련,반품 결제비 내야돼요,배송비 이중청구 관련
135,상품 교환/반품 관련,물건 하자로 반품 신청했는데 반품비가 왜 있죠,배송비 이중청구 관련
136,배송 가능 시간 문의,당일 발송을 희망한다면 몇 시까지 주문하면 되나요,배송 가능 시간 문의
137,배송 가능 시간 문의,당일 발송을 위한 주문 마감 시간은 몇 시인가요,배송 가능 시간 문의
138,배송 가능 시간 문의,"당일 발송을 원할 때, 주문 가능한 시간대는 어떻게 되나요",배송 가능 시간 문의
139,배송 가능 시간 문의,당일 발송을 원한다면 몇 시까지 주문해야 하나요,배송 가능 시간 문의
140,배송 가능 시간 문의,당일 발송을 원하면 몇 시까지 주문해야 하는지 궁금합니다,배송 가능 시간 문의
141,배송 가능 시간 문의,당일 발송을 원하면 몇 시까지 주문하면 되는 건가요,배송 가능 시간 문의
142,배송 가능 시간 문의,당일 발송되는 시간을 확인할 수 있는 곳이 어딘지 알려주세요,배송 가능 시간 문의
143,배송 가능 시간 문의,당일 발송 시간이 남아있나요,배송 가능 시간 문의
144,배송 가능 시간 문의,당일 발송 시간은 어디서 확인할 수 있나요,배송 가능 시간 문의
145,배송 가능 시간 문의,당일 발송 시간은 어디서 확인하나요,배송 가능 시간 문의
146,배송 가능 시간 문의,당일 발송 마감 시간이 어떻게 되나요,배송 가능 시간 문의
147,배송 가능 시간 문의,당일 발송 가능한 주문 시간은 어느 시간까지인지 알려주세요,배송 가능 시간 문의
148,배송 가능 시간 문의,당일 발송 가능한 일정 알려주세요,배송 가능 시간 문의
149,배송 가능 시간 문의,당일 발송 가능한 시간대를 어떻게 확인할 수 있을까요,배송 가능 시간 문의
150,배송 가능 시간 문의,당일 발송 가능한 시간대를 알고 싶은데 어디서 확인할 수 있나요,배송 가능 시간 문의
151,배송 가능 시간 문의,당일 발송 가능한 배송 시간 알려주세요,배송 가능 시간 문의
152,배송 가능 시간 문의,3시까지 주문하면 오늘 발송되는거 맞나요,배송 가능 시간 문의
153,배송 가능 시간 문의,배송정보 미제공이 뭐에요,배송지연/조회 관련
154,배송 가능 시간 문의,배송정보 미제공이 뭐야,배송지연/조회 관련
155,배송 가능 시간 문의,배송 지연 이유를 알고 싶습니다,배송비 이중청구 관련
156,배송 가능 시간 문의,배송 왜 지연된건가요,회수/수거 지연 문의
157,배송 가능 시간 문의,배송 어디까지 왔어,배송지연/조회 관련
158,배송 가능 시간 문의,배송 알려줘,배송 문제 및 오배송 문의
159,배송 가능 시간 문의,배송 안내해줘,주문/서비스 취소 요청
160,배송 가능 시간 문의,배송 상황 알려줘,회수/수거 문의
161,배송 가능 시간 문의,배송 내역 조회해줘,"주문 내역 조회, 구매 이력 확인 등 주문/배송 조회 관련"
162,배송 가능 시간 문의,배송 날짜 확인은 어디서 하나요,배송방법(픽업/배송) 변경
163,배송 가능 시간 문의,배송 궁금해,배송지연/조회 관련
164,배송 가능 시간 문의,발송일정 부탁드려요,배송 가능 시간 문의
165,배송 가능 시간 문의,발송약정일 안에는 오는 게 맞나요,배송지연/조회 관련
166,배송 가능 시간 문의,롯데온 배송비,배송비 이중청구 관련
167,배송 가능 시간 문의,도착 일정 자세하게 안내해주세요,상품 하자 및 품질 불량 문의
168,배송 가능 시간 문의,내 택배 어디까지 왔어,배송지연/조회 관련
169,배송 가능 시간 문의,내 택배 어디까지 와 있어,배송지연/조회 관련
170,배송 가능 시간 문의,내 택배 송장 조회 해줘,배송지연/조회 관련
171,배송 가능 시간 문의,내 택배 상태 알려줘,배송 문제 및 오배송 문의
172,배송 가능 시간 문의,내 택배 배송상태 어디서 봐,"주문 내역 조회, 구매 이력 확인 등 주문/배송 조회 관련"
173,배송 가능 시간 문의,내 배달 정보 알려줘,배송지연/조회 관련
174,배송 가능 시간 문의,금일내로 갖다주세요.,배송 문제 및 오배송 문의
175,배송 가능 시간 문의,구매제품 배송,배송 문제 및 오배송 문의
176,배송 가능 시간 문의,지금 주문했을 때 선택가능한 배송시간이 언제인지 알 수 있나요,배송 가능 시간 문의
177,배송 가능 시간 문의,주문을 언제까지 해야 오늘 발송이 되나요,배송 가능 시간 문의
178,배송 가능 시간 문의,주문을 언제까지 하면 오늘 발송이 되는지 확인하고 싶어요,배송 가능 시간 문의
179,배송 가능 시간 문의,주문을 언제까지 하면 오늘 발송이 가능한가요,배송 가능 시간 문의
180,배송 가능 시간 문의,제 근처 마트에서 배송 가능한 시간이 언제인지 알고 싶어요,배송 가능 시간 문의
181,배송 가능 시간 문의,오늘 출고를 위한 주문 마감 시간은 언제인가요,배송 가능 시간 문의
182,배송 가능 시간 문의,오늘 주문한 건이 당일 발송되려면 언제까지 주문해야 하나요,배송 가능 시간 문의
183,배송 가능 시간 문의,오늘 선택가능한 배송시간대가 언제인가요,배송 가능 시간 문의
184,배송 가능 시간 문의,오늘 선택 가능한 배송시간대가 언제인지 알려주세요,배송 가능 시간 문의
185,배송 가능 시간 문의,오늘 발송을 위한 주문 시간은 언제까지인가요,배송 가능 시간 문의
186,배송 가능 시간 문의,오늘 발송을 원한다면 언제까지 주문해야 하나요,배송 가능 시간 문의
187,배송 가능 시간 문의,오늘 발송되려면 언제 주문을 해야하는지 알고 싶은데요,배송 가능 시간 문의
188,배송 가능 시간 문의,오늘 발송 가능한 시간 언제인지 조회할래요,배송 가능 시간 문의
189,배송 가능 시간 문의,당일 출고를 위해서는 언제까지 주문을 해야 하나요,배송 가능 시간 문의
190,배송 가능 시간 문의,당일 출고되는 주문을 위한 마감 시간이 언제인가요,배송 가능 시간 문의
191,배송 가능 시간 문의,"당일 배송 출발했으면 하는데요, 언제까지 주문하면 될까요",배송 가능 시간 문의
192,배송 가능 시간 문의,당일 발송되는 마감 시간이 언제인가요,배송 가능 시간 문의
193,배송 가능 시간 문의,당일 발송 주문은 언제 마감되나요,배송 가능 시간 문의
194,배송 가능 시간 문의,당일 발송 됐으면 하는데 언제까지 주문하면 될까요,배송 가능 시간 문의
195,배송 가능 시간 문의,당일 발송 가능한 시간이 언제인지 확인하고 싶어요,배송 가능 시간 문의
196,배송 가능 시간 문의,내일 필요해서 오늘 출발했으면 좋겠는데 언제까지 주문하면 될까요,배송 가능 시간 문의
197,미수령/미배송 문의,미수령신고 건,미수령/미배송 문의
198,미수령/미배송 문의,미수령 확인해줘,미수령/미배송 문의
199,미수령/미배송 문의,미수령 현황,미수령/미배송 문의
200,미수령/미배송 문의,미수령 접수 후 갑자기 배송 완료 메시지를 받았습니다,미수령/미배송 문의
201,미수령/미배송 문의,미수령 신고후 조치가 이뤄지지 않고 있습니다,미수령/미배송 문의
202,미수령/미배송 문의,"미수령 신고했는데, 답변이 없네요",미수령/미배송 문의
203,미수령/미배송 문의,미수령 신고했는데 혹시 확인됐나요,미수령/미배송 문의
204,미수령/미배송 문의,미수령 신고했는데 해결이 안돼요 다시 접수해야 하나요,미수령/미배송 문의
205,미수령/미배송 문의,미수령 신고했는데 어떻게 진행되고 있는지 어디서 확인하나요,미수령/미배송 문의
206,미수령/미배송 문의,미수령 신고했는데 뭐 연락도 없고 이게 뭡니까,미수령/미배송 문의
207,미수령/미배송 문의,미수령 신고했고 현황 알려주시기 바랍니다,미수령/미배송 문의
208,미수령/미배송 문의,미수령 신고한거 진행상황 좀 보여주세요,미수령/미배송 문의
209,미수령/미배송 문의,미수령 신고한거 왜 연락없죠 언제 처리되나요,미수령/미배송 문의
210,미수령/미배송 문의,미수령 신고한 제품이 오지 않았습니다,미수령/미배송 문의
211,미수령/미배송 문의,미수령 신고한 상품 어떻게 됐어요,미수령/미배송 문의
212,미수령/미배송 문의,미수령 신고한 상태이며 환불 처리 하려고 합니다,미수령/미배송 문의
213,미수령/미배송 문의,미수령 신고한 거 확인하고 싶은데 어떻게 보죠,미수령/미배송 문의
214,미수령/미배송 문의,미수령 신고한 거 확인하고 싶으면 어디로 가,미수령/미배송 문의
215,미수령/미배송 문의,미수령 신고한 거 진행이 어떻게 되고 있나요,미수령/미배송 문의
216,미수령/미배송 문의,미수령 신고한 거 조치 어떻게 되고 있나요,미수령/미배송 문의
217,미수령/미배송 문의,미수령 신고한 거 잘 진행되는지 확인 좀 부탁드려요,미수령/미배송 문의
218,미수령/미배송 문의,미수령 신고한 거 잘 진행되고 있죠,미수령/미배송 문의
219,미수령/미배송 문의,미수령 신고하였는데 잘 처리 되었는지 확인 요청드립니다,미수령/미배송 문의
220,미수령/미배송 문의,미수령 신고하면 현황은 어디서 확인하나요,미수령/미배송 문의
221,미수령/미배송 문의,미수령 신고하면 끝인가요,미수령/미배송 문의
222,미수령/미배송 문의,미수령 신고접수 했는데 확인되었을까요,미수령/미배송 문의
223,미수령/미배송 문의,미수령 신고며 문의도 다 했는데 답변이 없어요,미수령/미배송 문의
224,미수령/미배송 문의,미수령 신고도 했고 고객센터는 통화연결이 안되고 1대1 문의도 남겼는데 답변이 없어 답답하네요,미수령/미배송 문의
225,미수령/미배송 문의,미수령 신고도 했고 1대1 문의도 남겼는데,미수령/미배송 문의
226,미수령/미배송 문의,미수령 신고까지 했는데 이렇다 할 말이 없네요,미수령/미배송 문의
227,미수령/미배송 문의,미수령 신고 후는 어떻게 처리돼,미수령/미배송 문의
228,미수령/미배송 문의,미수령 신고 후 진행,미수령/미배송 문의
229,미수령/미배송 문의,미수령 신고 후 어떻게 진행돼,미수령/미배송 문의
230,미수령/미배송 문의,미수령 신고 후,미수령/미배송 문의
231,미수령/미배송 문의,미수령 신고 확인해주세요,미수령/미배송 문의
232,미수령/미배송 문의,미수령 신고 확인 후 처리 바랍니다,미수령/미배송 문의
233,미수령/미배송 문의,미수령 신고 현황 조회는 어떻게 해,미수령/미배송 문의
234,미수령/미배송 문의,미수령 신고 현황,미수령/미배송 문의
235,미수령/미배송 문의,미수령 신고 했어요 다음 절차 안내해주세요',미수령/미배송 문의
236,미수령/미배송 문의,미수령 신고 했어요,미수령/미배송 문의
237,미수령/미배송 문의,미수령 신고 했는데요,미수령/미배송 문의
238,미수령/미배송 문의,"미수령 신고 했는데, 이제 어떻게 해?",미수령/미배송 문의
239,미수령/미배송 문의,미수령 신고 했는데 답이 없어,미수령/미배송 문의
240,미수령/미배송 문의,미수령 신고 했는데 내역 확인이 안돼요,미수령/미배송 문의
241,미수령/미배송 문의,미수령 신고 했는데 그냥 기다리면 되나요,미수령/미배송 문의
242,미수령/미배송 문의,미수령 신고 했고 아직 안오고 있다구요,미수령/미배송 문의
243,미수령/미배송 문의,미수령 신고 지금 어떻게 진행되는지 보고 싶은데요,미수령/미배송 문의
244,미수령/미배송 문의,미수령 신고 지금 어떻게 진행되고 있나요,미수령/미배송 문의
245,미수령/미배송 문의,미수령 신고 조회하는 방법,미수령/미배송 문의
246,미수령/미배송 문의,미수령 신고 조회 방법,미수령/미배송 문의
247,미수령/미배송 문의,미수령 신고 조회,미수령/미배송 문의
248,미수령/미배송 문의,미수령 신고 접수했는데 한참동안 말이 없어요,미수령/미배송 문의
249,미수령/미배송 문의,미수령 신고 접수 했어,미수령/미배송 문의
250,미수령/미배송 문의,미수령 신고 접수 관련 질문 있어요,미수령/미배송 문의
251,미수령/미배송 문의,미수령 신고 재접수,미수령/미배송 문의
252,미수령/미배송 문의,미수령 신고 이후에는 어떻게 해,미수령/미배송 문의
253,미수령/미배송 문의,미수령 신고 방금 했습니다,미수령/미배송 문의
254,미수령/미배송 문의,미수령 신고 뭐 어떻게 되고 있는건가요,미수령/미배송 문의
255,미수령/미배송 문의,미수령 신고 도대체 언제 처리됩니까,미수령/미배송 문의
256,미수령/미배송 문의,미수령 신고 다음 처리 과정이 어떻게 되는지 알고 싶어,미수령/미배송 문의
257,미수령/미배송 문의,미수령 신고 다 했는데 답변이 없네요,미수령/미배송 문의
258,미수령/미배송 문의,미수령 신고 내역,미수령/미배송 문의
259,미수령/미배송 문의,미수령 신고 관련해서 답변이 없으면 어떻게 해요,미수령/미배송 문의
260,미수령/미배송 문의,미수령 신고 건 현황 확인해주세요,미수령/미배송 문의
261,미수령/미배송 문의,미수령 신고 건 언제 처리되는지 알려주세요,미수령/미배송 문의
262,미수령/미배송 문의,미수령 신고 건 언제 처리되나요,미수령/미배송 문의
263,미수령/미배송 문의,"미수령 상황을 신고했는데, 다음 절차를 알려주세요",미수령/미배송 문의
264,미수령/미배송 문의,"미수령 상황을 신고했는데, 다음 단계가 무엇인지 궁금합니다",미수령/미배송 문의
265,미수령/미배송 문의,미수령 상품 신고했는데 연락이 없어서요 어떻게 되고 있나요,미수령/미배송 문의
