,input,intent,result
0,추가상품이 있는데 함께 배송될까요?,com_how_ord,cs_how_inst
1,주문더하기는 어떻게 합니까,com_how_ord,com_how_ord
2,주문내역 소포장배송요청,com_how_ord,cs_how_inst
3,선물포장 추가해줘,com_how_ord,com_how_ord
4,선물포장 요청을 못했는데 지금 요청 가능할까요,com_how_ord,com_how_ord
5,비회원은 어떻게 주문하나요,com_how_ord,com_how_ord
6,전화로 주문할 수 있나요,com_how_ord,com_how_ord
7,배송전 추가주문하고싶습니다,com_how_ord,com_how_ord
8,선물포장 가능한지 확인해줘,com_how_ord,com_how_ord
9,선물을 보냈는데 알람 메세지를 받지 못했다고 해요,com_how_ord,com_how_ord
10,회원 아니면 주문이 안되나요,com_how_ord,com_how_ord
11,최근 주문에 선물포장 해줄래,com_how_ord,com_how_ord
12,주문방법 알려주세요,com_how_ord,com_how_ord
13,주문제품 선물포장 가능한가요,com_how_ord,com_how_ord
14,대량구매 문의,com_how_ord,com_how_ord
15,대량구매 시 비용 안내,com_how_ord,cs_qry_ord
16,선물용으로 구입하는 거니까 예쁘게 포장해서 쇼핑백과 함께 보내주세요,com_how_ord,com_how_ord
17,주문방법을 몰라요,com_how_ord,com_how_ord
18,"선물용이라 상자, 증정품 꼭 부탁드립니다",com_how_ord,com_how_ord
19,선물 문자 확인이 안됐다고 해요,com_how_ord,com_how_ord
20,혹시 선물상자만 따로 주문가능한가요,com_how_ord,com_how_ord
21,선물 sms 못 받았다던데요,com_how_ord,com_how_ord
22,롯데마트 추가주문,com_how_ord,cs_qry_ord
23,배달하는 물품에 추가 할 수 있나요,com_how_ord,cs_how_inst
24,마트 추가주문,com_how_ord,cs_how_smp
25,배송 더하기 신청,com_how_ord,faq_dsat_exch
26,추가 합배송 원합니다,com_how_ord,cs_qry_dlv
27,추가주문이 안되네요,com_how_ord,faq_dsat_gen
28,추가주문 하려는데 왜 안되나요,com_how_ord,com_how_ord
29,가입 안하고 주문할 수 있는 방법이 있나요,com_how_ord,com_how_ord
30,가입 안하면 상품 못 사요,com_how_ord,faq_dsat_dlv_nrcv
31,선물 포장과 봉투백 동봉 되나요,com_how_ord,com_how_ord
32,전화 주문 가능한가요,com_how_ord,com_how_ord
33,전화로 주문하고 싶어,com_how_ord,com_how_ord
34,구매하고 싶은데 어떻게 하면 되나요,com_how_ord,cs_regchg_gen
35,이미 결제했는데 다른 상품을 추가하고 싶어요,com_how_ord,com_how_ord
36,지금 다른 물건들 추가할 수 있나요,com_how_ord,com_how_ord
37,장보기 상품추가,com_how_ord,cs_qry_ord
38,선물 어떻게 재전송해,com_how_ord,faq_how_dlv
39,선물 재전송 어떻게 하나요,com_how_ord,faq_how_dlv
40,내일 주문건이 있어서 추가 주문하려고 하는데요,com_how_ord,com_how_ord
41,선물수락은 어디서 어떻게 하는걸까요,com_how_ord,faq_how_dlv
42,제가 저한테 선물했는데 선물 수락은 어디에서 하나요,com_how_ord,com_how_ord
43,해당 제품 쇼핑백 제공 말고도 선물포장이 되는지 궁금합니다,com_how_ord,cs_how_inst
44,상품 포장해주세요~ 안되면 상품봉투 부탁드립니다.,com_how_ord,com_how_ord
45,선물하기 수락기한,com_how_ord,com_how_ord
46,롯데마트몰 배송주문했는데 추가로 배송원해요 어떻개 해야할까요,com_how_ord,cs_how_inst
47,주문 어떻게 하는지 알려주세요,com_how_ord,com_how_ord
48,이 상품 구매하고 싶은데 어떻게 하는지 모르겠어요,com_how_ord,com_how_ord
49,상품 구매할 수 있게 도와주세요,com_how_ord,cs_how_inst
50,제 카드가 취소된 게 맞나요,cs_cncl,cs_cncl
51,제 카드 취소 된 건지 확인해주세요,cs_cncl,cs_cncl
52,정상적으로 카드 취소된 게 맞나요,cs_cncl,cs_cncl
53,교환신청해뒀는데 그냥 쓸게요,cs_cncl,cs_sgt_exchrtgs
54,반품신청했었는데 그냥 쓸게요,cs_cncl,cs_sgt_exchrtgs
55,카드결제 취소한게 아직도 입금이 안됐어요,cs_cncl,cs_cncl
56,카드 취소가 되었는지 확인부탁드립니다,cs_cncl,cs_cncl
57,카드취소문자 못 받았는데 취소가 아직인가요,cs_cncl,cs_cncl
58,카드취소 입금 언제되나요,cs_cncl,cs_cncl
59,카드취소가 아직이네요,cs_cncl,cs_cncl
60,카드취소 언제되나요,cs_cncl,cs_cncl
61,신용카드 환불처리가 아직 안되었네요,cs_cncl,cs_cncl
62,반품 취소,cs_cncl,faq_dsat_dlv_nrcv
63,교환취소 돼,cs_cncl,cs_cncl
64,카드사에서 취소 안됐대,cs_cncl,cs_cncl
65,누구맘대로 취소한거야,cs_cncl,cs_cncl
66,품절인데 취소하려고 하니까 배송비가 나온다고 떠요,cs_cncl,shipping_fee_twice
67,품절로 취소하는데 배송비를 내는게 말이 됩니까,cs_cncl,cs_sgt_rfd_repay
68,품절인데 배송비를 내라는게 말이 돼,cs_cncl,faq_dsat_dlv_nrcv
69,정기배송 해지할건데,cs_cncl,cs_sgt_exchrtgs
70,품절로 취소하는데 왜 배송비가 나와,cs_cncl,cs_sgt_exchrtgs
71,품절로 취소하는데 배송비가 왜 발생합니까,cs_cncl,shipping_fee_twice
72,품절로 취소하는데 배송비가 나오는 이유가 뭡니까,cs_cncl,cs_sgt_exchrtgs
73,상품취소하고싶어요,cs_cncl,cs_qry_ord
74,사용 전인데 e쿠폰 취소 가능한가요,cs_cncl,cs_how_rfd
75,백화점 방문 안하고 상품 안 받고 싶습니다,cs_cncl,cs_regchg_smp
76,백화점 매장에서 수령하기로 한 상품 하는 방법,cs_cncl,cs_how_smp
77,취소하려니까 배송비가 나오네요,cs_cncl,shipping_fee_twice
78,주문 취소처리 완료되었는데 왜 배송비 청구되나요,cs_cncl,cs_how_rfd
79,스마트픽 취소 될까요,cs_cncl,cs_regchg_smp
80,오늘 산 거 주문취소 해줘,cs_cncl,cs_qry_dlv
81,e쿠폰 취소 하는 방법,cs_cncl,cs_sgt_rfd_repay
82,취소했는데 확인해줘,cs_cncl,cs_sgt_rfd_repay
83,취소현황 알려줘,cs_cncl,cs_sgt_exchrtgs
84,취소한 거 보여줘,cs_cncl,cs_qry_ord
85,취소상태 어디서 보죠,cs_cncl,cs_qry_ord
86,주문 취소 신청 철회 부탁해요,cs_cncl,cs_qry_ord
87,주문 취소 신청 철회해주세요,cs_cncl,cs_qry_ord
88,취소 철회,cs_cncl,cs_qry_ord
89,주문취소한거 그냥 받고싶어요,cs_cncl,cs_how_inst
90,주문 취소했는데 취소안하려구요,cs_cncl,cs_qry_ord
91,주문 취소 철회,cs_cncl,cs_qry_ord
92,피팅 예약 취소해,cs_cncl,cs_cncl
93,피팅 예약 취소해주세요,cs_cncl,cs_qry_ord
94,교환 취소가 왜 안됨,cs_cncl,cs_how_rfd
95,반품신청 했는데 그냥 사용할게요,cs_cncl,cs_sgt_exchrtgs
96,반품 취소 왜 안돼요,cs_cncl,cs_how_rfd
97,주문한거 안 살래,cs_cncl,faq_dsat_gen
98,구매 안 할래,cs_cncl,cs_qry_ord_de
99,매달 받는 정기배송 해지 부탁드립니다,cs_cncl,cs_qry_dlv
100,언제쯤 회수하러 올 예정인지 알려주세요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
101,회수 지연,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
102,수거요청한지 오래되었는데 언제 수거해가나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
103,언제 수거하시나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
104,수거언제해가나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
105,수거 신청했는데 기다리면 되나요,cs_how_exch_rtgs_etc,cs_regchg_gen
106,교환 수거 기다리면 되나요,cs_how_exch_rtgs_etc,cs_sgt_exchrtgs
107,회수 진행 언제 되나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
108,언제 회수하시는거죠,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
109,택배사에서 상품을 안가져가고 있어요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
110,회수 기사님 아직 안오셨는데요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
111,반품 수거 언제돼요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
112,반품한 상품 언제 수거하나요,cs_how_exch_rtgs_etc,cs_how_rfd
113,수거 언제 되는거에요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
114,교환 상품 수거 언제 해요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
115,교환신청한 거 수거 일정 좀 알려주세요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
116,반품신청한 거 회수 언제해요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
117,제가 택배 접수 해야되나요,cs_how_exch_rtgs_etc,faq_how_dlv_chg
118,반품 신청하고 택배 접수 제가 하나요,cs_how_exch_rtgs_etc,cs_sgt_exchrtgs
119,교환 반품 상품 직접 택배 접수 해야되나요,cs_how_exch_rtgs_etc,cs_sgt_exchrtgs
120,교환 신청한 거 따로 택배 부쳐야 하나요,cs_how_exch_rtgs_etc,faq_how_dlv_chg
121,교환 신청한 거 따로 택배 부쳐야 하나요,cs_how_exch_rtgs_etc,faq_how_dlv_chg
122,롯데마트 반품건 있는데 아직 회수전입니다 빠른 회수바랍니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
123,반품회수 연락없었는데 반품회수완료가 떴습니다,cs_how_exch_rtgs_etc,faq_dsat_dlv_nrcv
124,상품에 얼룩인지 곰팡인지 문제가 있어 반품신청했는데 몇일이 지나도 수거해가지않아요,cs_how_exch_rtgs_etc,faq_dsat_exch
125,반품 회수를 왜 안오시는지요,cs_how_exch_rtgs_etc,cs_how_rfd
126,아직도 회수가 안됨,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
127,계속 회수가 안되고 있어 연락드립니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
128,반품접수 신청했는데 상품 회수하러 오지않고 있습니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
129,상품 회수는 언제 하시나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
130,물품 반품 접수를 했는데 택배기사가 회수를 안해갑니다.,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
131,반품신청을 했는데 수거가 안되고 있어요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
132,2~3일이 지났는데도 수거하러 오겠다는 연락이 없어요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
133,회수진행으로만 뜨고 회수가 진행이 안되어서 문의합니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
134,빨리 회수해가시고 제품 주세요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
135,회수는 언제하러 오나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
136,반품신청했는데 아직도 상품을 회수 안 했습니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
137,반품 신청했는데 수거 왜 안하죠,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
138,현관 앞에 몇일째 회수 안되고 있어요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
139,반품회수가 안되고 있어요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
140,빠른 시일내 회수바랍니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
141,도대체 언제 반품회수 해가나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
142,반품회수를 안해가셔서요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
143,기다리는데 아직 수거안했어요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
144,반품회수가 아직도 안되고 있는데 무슨 문제가 있나요,cs_how_exch_rtgs_etc,cs_sgt_exchrtgs
145,빨리 물건 회수해가세요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
146,교환할 상품의 회수를 안하고 있어요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
147,반품 물건 언제 픽업오시나요,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
148,다시 회수접수 요청합니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
149,빨리 회수해가시기 바랍니다,cs_how_exch_rtgs_etc,cs_how_exch_rtgs_etc
150,주문 두 번 했는데 묶음 배송원합니다,cs_how_inst,cs_how_inst
151,묶음 배송은 어떻게 해야하나요,cs_how_inst,cs_how_inst
152,물건을 같이 샀는데 따로 오나요,cs_how_inst,cs_how_inst
153,같은 브랜드 상품인데 묶음배송이 안되네요,cs_how_inst,faq_dsat_dlv_nrcv
154,주문상품 묶음으로 한번에 받으려면 어찌해야 하나요,cs_how_inst,cs_how_inst
155,상품추가 묶음배송 안되나요,cs_how_inst,com_how_ord
156,배송비 없이 묶음배송 하고 싶습니다,cs_how_inst,cs_how_inst
157,주문한 상품들을 묶어서 받고 싶어요,cs_how_inst,cs_how_inst
158,합배송으로 받고 싶은데 어떻게 신청하나요,cs_how_inst,cs_how_inst
159,묶음 배송을 요청하고 싶어요,cs_how_inst,cs_how_inst
160,여러 상품을 한 번에 받을 수 있는 방법이 있을까요,cs_how_inst,cs_how_inst
161,상품들을 합쳐서 배송 가능한지 확인하고 싶어요,cs_how_inst,cs_how_inst
162,묶음 배송을 신청하려면 어떻게 해야 하나요,cs_how_inst,cs_how_inst
163,주문한 물건들을 묶음 배송으로 받을 수 있는지 알려주세요,cs_how_inst,cs_how_inst
164,합배송을 신청하고 싶은데 절차가 어떻게 되나요,cs_how_inst,cs_how_reorder
165,묶음으로 상품을 받을 수 있는지 여쭤보려고 해요,cs_how_inst,cs_how_inst
166,여러 상품을 함께 받을 수 있는 방법을 알고 싶어요,cs_how_inst,cs_how_inst
167,묶음 배송을 요청하려면 어떻게 해야 할까요,cs_how_inst,cs_how_inst
168,주문한 상품들을 함께 받을 수 있는 방법이 있는지 알려주세요,cs_how_inst,cs_how_inst
169,합배송으로 받고 싶은데 어떻게 신청하면 되나요,cs_how_inst,cs_how_inst
170,묶음 배송이 가능한지 확인하고 싶은데요,cs_how_inst,cs_how_inst
171,여러 상품을 한 번에 받을 수 있는지 궁금해요,cs_how_inst,cs_how_inst
172,묶음 배송을 신청하고 싶어서요,cs_how_inst,cs_how_inst
173,주문한 상품들을 합배송으로 받을 수 있는지 알고 싶어요,cs_how_inst,cs_how_inst
174,묶음으로 상품을 받을 수 있는 방법을 알려주세요,cs_how_inst,cs_how_inst
175,합배송을 신청하는 방법을 알고 싶어요,cs_how_inst,cs_how_inst
176,묶음 배송이나 합배송이 가능한지 문의하려고 합니다,cs_how_inst,cs_how_inst
177,같은 판매자 상품을 주문했는데 합배송이 될지 알아보고 싶어요,cs_how_inst,cs_how_inst
178,같은 판매자 상품을 주문했는데 묶음배송 가능한가요,cs_how_inst,cs_how_inst
179,같은 판매자 상품을 주문했는데 묶음 배송이나 합배송이 가능할까요,cs_how_inst,cs_how_inst
180,주문한 같은 판매자 상품을 합배송으로 받을 수 있는지 알고 싶어요,cs_how_inst,cs_how_inst
181,주문 2번 했는데요 같이 묶어서 배송해주시는 거 맞나요,cs_how_inst,cs_how_inst
182,합포장문의,cs_how_inst,faq_dsat_dlv_nrcv
183,주문한 상품들을 합포장할 수 있는지 알고 싶어요,cs_how_inst,cs_how_inst
184,합포장 가능한지 문의드리고 싶어요,cs_how_inst,cs_how_inst
185,합포장이 가능한지 여쭤보려고 합니다,cs_how_inst,cs_how_inst
186,상품들을 합포장해서 받을 수 있는지 확인하고 싶어요,cs_how_inst,cs_how_inst
187,합포장을 요청하고 싶은데 어떻게 해야 하나요,cs_how_inst,cs_how_inst
188,주문한 상품들을 함께 합포장할 수 있는지 알려주세요,cs_how_inst,cs_how_inst
189,합포장이 가능한지 알아보려고 하는데요,cs_how_inst,cs_how_inst
190,상품들을 합포장해서 받을 수 있는 방법이 있을까요,cs_how_inst,cs_how_inst
191,합포장을 신청하는 절차가 있나요,cs_how_inst,cs_how_reorder
192,주문한 상품들을 합포장으로 받을 수 있는지 궁금합니다,cs_how_inst,cs_how_inst
193,합포장이 가능한지 확인하려고 합니다,cs_how_inst,cs_how_inst
194,상품들을 합포장해서 받을 수 있는지 여쭤봐야 할 것 같아요,cs_how_inst,cs_how_inst
195,합포장으로 주문한 상품들을 받을 수 있는지 문의드립니다,cs_how_inst,cs_how_inst
196,합포장을 신청하려면 어떻게 해야 할까요,cs_how_inst,cs_how_exch_rtgs_etc
197,합포장 되나요,cs_how_inst,cs_how_inst
198,합포장 가능한지 알려줘,cs_how_inst,cs_how_inst
199,주문 상품 합포장해서 배송해줄래,cs_how_inst,cs_how_inst
200,미인도 알림톡이 왔는데 그럼 재배송 신청을 해야된다는 건가요,cs_how_reorder,cs_how_reorder
201,미인도 알림톡이 갑자기 왜 왔죠,cs_how_reorder,cs_how_reorder
202,미인도 알림톡이란 걸 받았는데요,cs_how_reorder,cs_how_reorder
203,상품 주문했는데 미인도 됐어요 어떻게 하면 되나요,cs_how_reorder,cs_regchg_gen
204,상품 주문한게 미인도 되었다고 연락왔는데 뭐 어떻게 해야 되나요,cs_how_reorder,cs_cncl
205,주문한 상품이 미인도 됐다고 알림톡이 왔습니다,cs_how_reorder,cs_how_reorder
206,새로운 주소로 재배송 신청해야 되는데 어떻게 하면 돼요,cs_how_reorder,cs_how_reorder
207,마트에서 주문한 상품이 미인도 됐대요,cs_how_reorder,com_how_ord
208,얼마 전에 산 상품이 미인도 됐다는데요,cs_how_reorder,faq_dsat_exch
209,미인도 됐다는데 어떻게 하면돼요,cs_how_reorder,cs_how_reorder
210,미인도 된거 어떻게 해요,cs_how_reorder,cs_how_reorder
211,재배송 접수 안하면 어떻게 되는거죠,cs_how_reorder,cs_how_reorder
212,재배송 접수 안하면 환불되나요,cs_how_reorder,cs_how_rfd
213,미인도 알림톡 받았는데 그냥 취소할게요,cs_how_reorder,cs_how_reorder
214,미인도 알림톡 받았는데 그냥 냅두면 취소되나요,cs_how_reorder,cs_how_reorder
215,미인도 알림톡이 왔어요 자동 취소되나요,cs_how_reorder,cs_how_reorder
216,새로운 주소로 재배송 신청해야 되는건가요,cs_how_reorder,cs_how_reorder
217,재배송 접수하려면 어떻게 해야돼요,cs_how_reorder,cs_how_reorder
218,미인도 상품 다시 배송 받고 싶어요,cs_how_reorder,cs_how_inst
219,미인도 알림톡 받았는데 다시 배송 접수할게요,cs_how_reorder,cs_how_reorder
220,미인도 됐다는데 재배송 접수하면 되나요,cs_how_reorder,cs_how_reorder
221,미인도 된 거 다시 배송해주세요,cs_how_reorder,cs_how_reorder
222,미인도 된 거 주소 변경해서 다시 받고 싶어요,cs_how_reorder,cs_how_reorder
223,미인도 된 거 주소 변경할테니 다시 보내주세요,cs_how_reorder,cs_sgt_exchrtgs
224,미인도 된 거 신규 주소로 재배송 가능할까요,cs_how_reorder,cs_how_reorder
225,미인도 된 상품 새 주소 입력할테니 다시 보내줄 수 있나요,cs_how_reorder,cs_how_reorder
226,미인도 된 상품이 있다고 연락 받았는데 신규 주소로 다시 보내주실래요,cs_how_reorder,cs_how_reorder
227,미인도 된 상품이 있다는데요 새 주소로 다시 보내주실 수 있나요,cs_how_reorder,cs_how_inst
228,미인도 된 상품 신규 주소 입력할테니 다시 보내주세요,cs_how_reorder,cs_how_reorder
229,미인도 되면 어떻게 해야 되나요,cs_how_reorder,cs_how_reorder
230,미인도 상품 다시 배송 받고 싶으면 신규 주소 입력하면 되나요,cs_how_reorder,cs_how_reorder
231,알림톡이 왔는데 상품이 미인도 되었다고 합니다. 신규 주소 입력하면 그리로 보내주실 수 있나요,cs_how_reorder,cs_how_reorder
232,새로운 주소로 재배송 받고 싶은데 어떻게 하면 되나요,cs_how_reorder,cs_how_reorder
233,미인도 된 상품 새로운 주소로 재배송 받을게요,cs_how_reorder,cs_how_reorder
234,미인도 된 상품 재배송 신청하려는데 새주소 어디서 입력하면 되나요,cs_how_reorder,cs_how_reorder
235,상품이 미인도 됐대 새주소로 재배송 해줘,cs_how_reorder,cs_how_reorder
236,미인도 알림톡 받았고 새주소로 재배송 신청합니다,cs_how_reorder,cs_how_reorder
237,다른 주소로 재배송 신청할게요,cs_how_reorder,cs_sgt_exchrtgs
238,미인도 알림톡 받았는데 다른 주소로 재배송 신청할게요,cs_how_reorder,cs_how_reorder
239,마트 미인도 알림톡 받았어요 재배송 신청 가능한가요,cs_how_reorder,cs_how_reorder
240,미인도 알림톡 온 거 확인해주세요,cs_how_reorder,cs_how_reorder
